document_id,clean_text,sentiment
0,bwho drtedro resignnl dec wechat group publish presenc sarslik virusnjan china tell whoxexxa httpstcoaacuuwjmk,neutral
1,bsenatorhagerti wuhancoronaviru spread world thank who help ccp ccp concealxexxa httpstcoyphehfn,positive
2,bjuliensorel chainhomotopi thelogankyl busi xfxfxx dude sad i told one hashtag wuhancoronaviru,neutral
3,bdrmadej i encourag everyon get vaccin necessari consid care potentixexxa httpstcowzlpvsa,positive
4,bchainhomotopi juliensorel thelogankyl busi xfxfxx seem guy donxexxt get i told guy alreadyxexxa httpstcowlkphh,neutral
5,bthe end week reduc burden alleg viru american hospit week overduexexxa httpstcouyvobizhh,negative
6,bdelglenndavi the two week suppos end one year ago now told ostracizedxexxa httpstcokyiaqtsxh,negative
7,bglobaltimesnew xexxctechn testsxexxd xfxfxxxfxfxxxfxfxx yup sure plea cooper cure diseas mind ccp plaxexxa httpstcoikyzxvwxfq,positive
8,bjuliensorel chainhomotopi thelogankyl busi you guy still go shit xfxfxaxaxfxfxfxbbxexxdxexxxefxbxfxfxfxx look guy atxexxa httpstcoulhzitetn,neutral
9,bwsj wsjopinion wuhancoronaviru spread world thank who help ccp ccp conceaxexxa httpstcorfjudajaqc,negative
10,bsenjoniernst who siouxlandnew wuhancoronaviru spread world thank who help toxexxa httpstcogdiqpmbvzq,negative
11,byahoonew onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp now hk ixexxa httpstcoorsiawyum,negative
12,btriciayeoh we want live perfect world perfect situat smooth sail without wuhancoronaviru wherxexxa httpstcoqfunhiljgl,positive
13,bdavidaltonhl proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destoryedxexxa httpstcoxzafpi,positive
14,bspeakerpelosi proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destoryexexxa httpstcoqdagtewef,positive
15,bguardianau proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destoryedxexxa httpstcomnbvmogod,positive
16,bchannelnewsasia proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destorxexxa httpstcolttth,positive
17,bnikkeiasia proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destori bxexxa httpstcompscajzefh,positive
18,bmin proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destori byxexxa httpstcobrfcbzcw,positive
19,bguardianworld onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp nowxexxa httpstcodduwbwgsb,positive
20,bindepend onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp now hkxexxa httpstcovymfuulqm,positive
21,bfreedomhous onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp now hxexxa httpstcodqjzbadkrk,positive
22,bfinancialtim onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp nowxexxa httpstcofgktavfm,positive
23,bfinancialtim thank much onecountrytwosystemsisdeadnth rule law freedom democraci hk desxexxa httpstcoqwetxfsgp,positive
24,breuter onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp now hk isxexxa httpstcoizhynmfu,positive
25,bipacglob thank much onecountrytwosystemsisdeadnth rule law freedom democraci hk destoryxexxa httpstcoesgwbji,positive
26,bnadiawhittomemp onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp noxexxa httpstcozsjuhfwgm,positive
27,beasiamediahub thank much onecountrytwosystemsisdeadnth rule law freedom democraci hk destxexxa httpstcobcpvtebm,positive
28,bjeppekofod thank much onecountrytwosystemsisdeadnth rule law freedom democraci hk destoryxexxa httpstcoteyujegj,positive
29,bsarahchampionmp onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp noxexxa httpstcojlqeqmdqc,positive
30,bsecblinken ccp compli agreement onecountrytwosystemsisdeadnth rule law freedom democracyxexxa httpstcoqkpebmehct,positive
31,bglobaltimesnew disgust human china spread wuhancoronaviru world act xfxfxaxaxexxa httpstcouvahsavi,negative
32,bglobaltimesnew china caught pant who claim china withheld raw datannwuhanvirusxexxa httpstcorxlledkvk,neutral
33,bglobaltimesnew who start pandemicnnwuhanviru wuhancoronaviru china chinaviru chinaliedpeopledi,negative
34,bglobaltimesnew who who clearli said china withheld raw data what hidennwuhanvirusxexxa httpstcohpnncaac,negative
35,bhear hear wuhancoronaviru wuhanlab wncov sarscov who httpstcocmsjjzdci,neutral
36,bcbseveningnew who wuhancoronaviru spread world thank who help ccp ccp coxexxa httpstcoqsxbjccr,negative
37,byahoonew wuhancoronaviru spread world thank who help ccp ccp concealmentxexxa httpstcoojptkobm,negative
38,brepgallagh wuhancoronaviru spread world thank who help ccp ccp concealmexexxa httpstcounbxcoevx,negative
39,bimseano they call all death wuhancoronaviru includ car motorcycl vehicl accid victim,negative
40,bpotu joebiden reauthor million u taxpay who drtedro complet cave uncooperxexxa httpstcorgufyvtq,positive
41,bswami you show understand civiliz issu herennthes bramic countri tri toxexxa httpstcokgbiypr,neutral
42,bglobaltimesnew thatxexx want put ccp dog cage xfxfxxxfxfxxxfxfxx ccp kill million spreadixexxa httpstcotzlkglrc,negative
43,btypediabet final ad massachusettsxexx list elig medic condit stage thexexxa httpstcopprawotc,neutral
44,btelglobalhealth sneweyi good luck california usa i sure hope countri prevail china wuhancoronaviru,negative
45,buk u criticis who covid report accus china withhold data wuhancoronaviru httpstcoijaddfla,negative
46,bglobaltimesnew so who admit china didnt share raw data clearli attempt hide fact wuhanvirusxexxa httpstcontvmpyrxa,negative
47,bmarcorubio who wuhancoronaviru spread world thank who help ccp ccp conceaxexxa httpstcorpiepjdlb,negative
48,bfoxfriendsfirst repkatcammack wuhancoronaviru spread world thank who help ccpxexxa httpstcovdkrepq,negative
49,brepkatcammack who wuhancoronaviru spread world thank who help ccp ccp conxexxa httpstcojubspb,negative
50,breparrington wuhancoronaviru spread world thank who help ccp ccp concealmexexxa httpstcorihzubqgb,negative
51,bthe who investig origin sarscov disappoint wuhancoronaviru wncovxexxa httpstcoraxfdryxwx,neagtive
52,bwuhancoronaviru ncovidnnthi omin nnworld need new vaccin fight coronaviru year say majxexxa httpstcotiuqzpaifk,neutral
53,bjohnbarron moder say safeti wuhancoronaviru vaccin uncertain,negative
54,bjohnbarron moder say safeti wuhancoronaviru vaccin uncertain,negative
55,bglobaltimesnew itxexx hope world bodi acknowledg alreadi know ie wuhancoronaviru spread bxexxa httpstcolzmorkcub,positive
56,bthomasewood is dick sport good plan autoclav merchandis that return store thatsxexxa httpstcoloslrbi,positive
57,bbridgebum thomasewood i also seen public librari virtuesign claim quarantin returnedxexxa httpstcoxyzqcnipi,neutral
58,bglobaltimesnew these gift donat chinesecommunistparti spare chanc humili countxexxa httpstcofrgwtdremi,positive
59,btheyr take china word china word xfxfxxxfxfxxif that want name inquiryxexxa httpstcosnuxnwbirm,neutral
60,bdrbonniehenri adriandix mayb launch new crushingrestrict britishcolumbia nnwhi variant txexxa httpstcolzraeufg,negative
61,bi guess lesleyrstahl minut final onboardntoo littl late usnwuhancoronaviru httpstcohdxqkiaq,negative
62,byeah surena joint whochina studi origin covid say transmiss viru bat huxexxa httpstcolgleafiplm,negative
63,bbusi wuhancoronaviru spread world thank who help ccp ccp conceal oxexxa httpstcockfldnzwc,negative
64,bglobaltimesnew sinovac sinopharm poor qualiti vaccin proven low efficaci rate bexexxa httpstcobyrgqatk,negative
65,bthesun now ccp enemi world freedom democraci sourc harm plea decoupl axexxa httpstcohmxsqhevg,negative
66,bcatturd the wuhancoronaviru hit florida soon it smart viru know go long wait forxexxa httpstcoeandmdivd,negative
67,bbopinion claradfmarqu seven peopl die usedxcxa sinovac vaccin also necessari stop but nowxexxa httpstcodyaduss,negative
68,bexpert david asher say lab leak explan covid wuhancoronaviru sourcen httpstcotdrjuvwi via mailonlin,negative
69,bsmitaprakash the dog provid chine commi deadli pathogen turn wuhancoronaviru,negative
70,bincreas pace vaccin drive million vaccin shot day would idealnwuhancoronavirusxexxa httpstcopdhvjqr,positive
71,bcnannadhurai sumanthraman mithran aiadmkoffici arivalayam whi abus nnyou free vote xfxfxxb paxexxa httpstcojidunlha,negative
72,bglobaltimesnew now even call african viru found china it renam chine swine fever xexxa httpstcoqtvafqo,neutral
73,b minut sunday march might revel origin wuhancoronaviru did comexexxa httpstcolhqoaeef,neutral
74,bsolomon yue twitter some million miss mobil phone found wuhan crematorium xfxfxxaxfxfxxbpeopl whoxexxa httpstcohxacyrxsbi,negative
75,bsubnobodi flmomfreedom it wuhancoronaviru petri dishnnright feder govt load planxexxa httpstcoltdxlfdavr,neutral
76,bcongratul americanny dr levin assist health secretarynnthi transgend person movedxexxa httpstcoqoewpplta,positive
77,bdisclosetv jillcoltonfre he must learn wuhancoronaviru i keep notic thatxexxa httpstcocveebowh,neutral
78,bbusi in postpandem time peopl ask wuhancoronaviru come,neutral
79,bdrericd best vaccin wuhancoronaviru india made covaxin le expens plu store le temperatur,positive
80,btedro your firednxexcxxexacxnhttpstconkacosldncoronaviruschina pndahuggerncoronachan coronachan xexxbxexxadxexxaxexxaxexxxexxxexxa httpstcoklgkjsgsn,neutral
81,bjkoz zigmanfreud teacher get as back classroom like u workinxexxa httpstconfazueq,positive
82,bwho drtedro resignnl dec wechat group publish presenc sarslik virusnjan china tell whoxexxa httpstcoaacuuwjmk,neutral
83,bsenatorhagerti wuhancoronaviru spread world thank who help ccp ccp concealxexxa httpstcoyphehfn,negative
84,bjuliensorel chainhomotopi thelogankyl busi xfxfxx dude sad i told one hashtag wuhancoronaviru,negative
85,bdrmadej i encourag everyon get vaccin necessari consid care potentixexxa httpstcowzlpvsa,positive
86,bchainhomotopi juliensorel thelogankyl busi xfxfxx seem guy donxexxt get i told guy alreadyxexxa httpstcowlkphh,neutral
87,bthe end week reduc burden alleg viru american hospit week overduexexxa httpstcouyvobizhh,positive
88,bdelglenndavi the two week suppos end one year ago now told ostracizedxexxa httpstcokyiaqtsxh,negative
89,bglobaltimesnew xexxctechn testsxexxd xfxfxxxfxfxxxfxfxx yup sure plea cooper cure diseas mind ccp plaxexxa httpstcoikyzxvwxfq,neutral
90,bjuliensorel chainhomotopi thelogankyl busi you guy still go shit xfxfxaxaxfxfxfxbbxexxdxexxxefxbxfxfxfxx look guy atxexxa httpstcoulhzitetn,neutral
91,bwsj wsjopinion wuhancoronaviru spread world thank who help ccp ccp conceaxexxa httpstcorfjudajaqc,negative
92,bsenjoniernst who siouxlandnew wuhancoronaviru spread world thank who help toxexxa httpstcogdiqpmbvzq,negative
93,byahoonew onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp now hk ixexxa httpstcoorsiawyum,positive
94,btriciayeoh we want live perfect world perfect situat smooth sail without wuhancoronaviru wherxexxa httpstcoqfunhiljgl,positive
95,bdavidaltonhl proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destoryedxexxa httpstcoxzafpi,positive
96,bspeakerpelosi proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destoryexexxa httpstcoqdagtewef,positive
97,bguardianau proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destoryedxexxa httpstcomnbvmogod,positive
98,bchannelnewsasia proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destorxexxa httpstcolttth,positive
99,bnikkeiasia proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destori bxexxa httpstcompscajzefh,positive
100,bmin proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destori byxexxa httpstcobrfcbzcw,positive
101,bguardianworld onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp nowxexxa httpstcodduwbwgsb,positive
102,bindepend onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp now hkxexxa httpstcovymfuulqm,positive
103,bfreedomhous onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp now hxexxa httpstcodqjzbadkrk,positive
104,bfinancialtim onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp nowxexxa httpstcofgktavfm,positive
105,bfinancialtim thank much onecountrytwosystemsisdeadnth rule law freedom democraci hk desxexxa httpstcoqwetxfsgp,positive
106,breuter onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp now hk isxexxa httpstcoizhynmfu,positive
107,bipacglob thank much onecountrytwosystemsisdeadnth rule law freedom democraci hk destoryxexxa httpstcoesgwbji,positive
108,bnadiawhittomemp onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp noxexxa httpstcozsjuhfwgm,positive
109,beasiamediahub thank much onecountrytwosystemsisdeadnth rule law freedom democraci hk destxexxa httpstcobcpvtebm,positive
110,bjeppekofod thank much onecountrytwosystemsisdeadnth rule law freedom democraci hk destoryxexxa httpstcoteyujegj,positive
111,bsarahchampionmp onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp noxexxa httpstcojlqeqmdqc,positive
112,bsecblinken ccp compli agreement onecountrytwosystemsisdeadnth rule law freedom democracyxexxa httpstcoqkpebmehct,positive
113,bglobaltimesnew disgust human china spread wuhancoronaviru world act xfxfxaxaxexxa httpstcouvahsavi,negative
114,bglobaltimesnew china caught pant who claim china withheld raw datannwuhanvirusxexxa httpstcorxlledkvk,negative
115,bglobaltimesnew who start pandemicnnwuhanviru wuhancoronaviru china chinaviru chinaliedpeopledi,negative
116,bglobaltimesnew who who clearli said china withheld raw data what hidennwuhanvirusxexxa httpstcohpnncaac,negative
117,bhear hear wuhancoronaviru wuhanlab wncov sarscov who httpstcocmsjjzdci,neutral
118,bcbseveningnew who wuhancoronaviru spread world thank who help ccp ccp coxexxa httpstcoqsxbjccr,negative
119,byahoonew wuhancoronaviru spread world thank who help ccp ccp concealmentxexxa httpstcoojptkobm,negative
120,brepgallagh wuhancoronaviru spread world thank who help ccp ccp concealmexexxa httpstcounbxcoevx,negative
121,bimseano they call all death wuhancoronaviru includ car motorcycl vehicl accid victim,negative
122,bpotu joebiden reauthor million u taxpay who drtedro complet cave uncooperxexxa httpstcorgufyvtq,positive
123,bswami you show understand civiliz issu herennthes bramic countri tri toxexxa httpstcokgbiypr,neutral
124,bglobaltimesnew thatxexx want put ccp dog cage xfxfxxxfxfxxxfxfxx ccp kill million spreadixexxa httpstcotzlkglrc,negative
125,btypediabet final ad massachusettsxexx list elig medic condit stage thexexxa httpstcopprawotc,positive
126,btelglobalhealth sneweyi good luck california usa i sure hope countri prevail china wuhancoronaviru,negative
127,buk u criticis who covid report accus china withhold data wuhancoronaviru httpstcoijaddfla,negative
